GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mavanagaiata,com.github.koraktor.mavanagaiata.git.jgit,JGitCommit,0,86,0,6,0,20,0,18,0,15
Mavanagaiata,com.github.koraktor.mavanagaiata.git.jgit,JGitTagCandidate,30,0,2,0,10,0,5,0,4,0
Mavanagaiata,com.github.koraktor.mavanagaiata.git.jgit,JGitRepository,80,609,11,59,19,140,14,47,3,23
Mavanagaiata,com.github.koraktor.mavanagaiata.git.jgit,JGitTag,7,36,3,3,1,9,4,6,1,6
Mavanagaiata,com.github.koraktor.mavanagaiata.git,MailMap,20,305,7,27,4,65,4,24,0,11
Mavanagaiata,com.github.koraktor.mavanagaiata.git,GitRepositoryException,0,9,0,0,0,4,0,2,0,2
Mavanagaiata,com.github.koraktor.mavanagaiata.git,GitTagDescription,0,60,0,8,0,13,0,8,0,4
Mavanagaiata,com.github.koraktor.mavanagaiata.git,AbstractGitRepository,0,27,1,1,0,8,1,4,0,4
Mavanagaiata,com.github.koraktor.mavanagaiata.git,CommitWalkAction,0,9,0,0,0,4,0,2,0,2
Mavanagaiata,com.github.koraktor.mavanagaiata,HelpMojo,861,0,110,0,155,0,71,0,16,0
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ChangelogFormat.Formats,0,36,0,0,0,7,0,3,0,3
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,CheckMojoException,0,35,1,4,0,14,1,6,0,3
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ContributorsMojo.Contributor,17,55,2,2,3,13,2,5,0,5
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,AbstractGitMojo,21,144,3,15,3,32,3,12,0,6
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ChangelogDefaultFormat,0,27,0,0,0,10,0,1,0,1
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ContributorsMojo.ContributorsWalkAction,0,51,0,2,0,9,0,4,0,3
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,GitInfo,26,0,4,0,4,0,4,0,2,0
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,VersionHelper,23,3,0,0,2,2,0,1,0,1
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,InfoClassMojo.ValueSourceFilter,14,11,0,0,3,3,1,1,1,1
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ChangelogMojo.ChangelogWalkAction,5,111,3,13,1,25,2,8,0,2
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,MavanagaiataMojoException,0,17,0,0,0,5,0,3,0,3
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ChangelogFormat,0,379,0,12,0,65,0,16,0,10
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,AbstractGitOutputMojo,13,108,0,4,3,29,2,7,2,5
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,CommitMojo,0,122,0,4,0,29,0,4,0,2
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ContributorsMojo,7,184,0,15,3,39,2,13,2,5
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,BranchMojo,0,17,0,0,0,6,0,2,0,2
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,TagMojo,0,45,0,4,0,12,0,4,0,2
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ChangelogMojo.LinkToBaseUrl,0,25,0,0,0,6,0,2,0,2
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,CheckMojoException.Type,0,27,0,0,0,2,0,1,0,1
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,InfoClassMojo,42,272,3,7,7,55,3,8,0,6
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,CheckMojo,5,161,2,22,2,29,3,17,1,7
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ChangelogMojo,7,120,3,9,3,23,5,6,2,3
Mavanagaiata,com.github.koraktor.mavanagaiata.mojo,ChangelogMarkdownFormat,0,22,0,0,0,8,0,1,0,1
